,,Sales Mix Report,,,,,
"BANG PURPLE HAZE 16CN,  Each",$2.89 ,50,$144.50 ,0.05%,$28.59 ,$0.00 ,$115.91 
"BANG RAINBOW UNICORN 16CN,  Each",$2.89 ,24,$69.36 ,0.02%,$12.14 ,$0.00 ,$57.22 
"BANG SOUR HEADS 16CN,  Each",$2.89 ,11,$31.79 ,0.01%,$5.86 ,$0.00 ,$25.93 
"BANG STAR BLAST 16CN,  Each",$2.89 ,40,$115.60 ,0.04%,$18.02 ,$0.00 ,$97.58 
"COKE ENERGY 12CN,  Each",$2.89 ,8,$23.12 ,0.01%,$4.47 ,$0.00 ,$18.65 
"COKE ENERGY CHRY ZRO 12CN,  Each",$2.89 ,6,$17.34 ,0.01%,$0.00 ,$0.00 ,$17.34 
"FULL THROTTLE CTRS 16C,  Each",$2.89 ,16,$46.24 ,0.02%,$0.00 ,$0.00 ,$46.24 
"MONSTER IMPORT 18.6 CN,  Each",$3.69 ,9,$33.21 ,0.01%,$2.78 ,$0.00 ,$30.43 
"MONSTER JAVA LCA MOCA 15,  Each",$3.39 ,9,$30.51 ,0.01%,$0.00 ,$0.00 ,$30.51 
"MONSTER JAVA MEAN BEAN 15,  Each",$3.39 ,10,$33.90 ,0.01%,$0.00 ,$0.00 ,$33.90 
"MONSTER JCE KHAOS 16CN,  Each",$2.89 ,8,$23.12 ,0.01%,$6.39 ,$0.00 ,$16.73 
"MONSTER JCE KHAOS 16CN,  Each",$4.76 ,4,$4.76 ,0.00%,$0.00 ,$0.00 ,$4.76 
"MONSTER LO CARB NRG 16 CN,  Each",$2.89 ,14,$40.46 ,0.01%,$10.87 ,$0.00 ,$29.59 
"MONSTER LO CARB NRG 24 CN,  Each",$3.69 ,3,$11.07 ,0.00%,$1.39 ,$0.00 ,$9.68 
"MONSTER MNG LOCO 16CN,  Each",$2.89 ,25,$72.25 ,0.03%,$14.59 ,$0.00 ,$57.66 
"MONSTER NRG 16 CN,  Each",$2.89 ,175,$505.75 ,0.18%,$107.19 ,$0.00 ,$398.56 
"MONSTER NRG 24 CN,  Each",$3.69 ,16,$59.04 ,0.02%,$6.26 ,$0.00 ,$52.78 
"MONSTER PACIFIC PUNCH 16C,  Each",$2.89 ,28,$80.92 ,0.03%,$17.15 ,$0.00 ,$63.77 
"MONSTER PIPELINE PNCH 16C,  Each",$2.89 ,11,$31.79 ,0.01%,$5.33 ,$0.00 ,$26.46 
"MONSTER REHAB 15.5 CN  ,  Each",$2.89 ,17,$49.13 ,0.02%,$6.61 ,$0.00 ,$42.52 
"MONSTER REHAB PTEA 15.5CN,  Each",$2.89 ,5,$14.45 ,0.01%,$1.49 ,$0.00 ,$12.96 
"MONSTER REHAB WHTDRG15.5C,  Each",$2.89 ,8,$23.12 ,0.01%,$4.68 ,$0.00 ,$18.44 
"MONSTER REHAB WHTDRG15.5C,  Each",$7.14 ,6,$7.14 ,0.00%,$0.00 ,$0.00 ,$7.14 
"MONSTER ULTRA FIESTA 16CN,  Each",$2.89 ,4,$11.56 ,0.00%,$2.98 ,$0.00 ,$8.58 
"MONSTER ULTRA PRDS 16C,  Each",$2.89 ,16,$46.24 ,0.02%,$7.45 ,$0.00 ,$38.79 
"MONSTER ULTRA SUNRISE 16C,  Each",$2.89 ,11,$31.79 ,0.01%,$5.22 ,$0.00 ,$26.57 
"MONSTER ULTRA VIOLET 16CN,  Each",$2.89 ,8,$23.12 ,0.01%,$2.98 ,$0.00 ,$20.14 
"MONSTER XTRA DRY 12 CN,  Each",$2.89 ,11,$31.79 ,0.01%,$2.22 ,$0.00 ,$29.57 
"MONSTER ZERO 16CN,  Each",$2.89 ,3,$8.67 ,0.00%,$0.00 ,$0.00 ,$8.67 
"MONSTER ZERO ULTRA 16CN,  Each",$2.89 ,33,$95.37 ,0.03%,$17.34 ,$0.00 ,$78.03 
"MONSTER ZERO ULTRA 24CN,  Each",$3.69 ,36,$132.84 ,0.05%,$18.76 ,$0.00 ,$114.08 
"MONSTER ZRO ULTRA BLU 16C,  Each",$2.89 ,9,$26.01 ,0.01%,$5.44 ,$0.00 ,$20.57 
"MONSTER ZRO ULTRA RED 16C,  Each",$2.89 ,1,$2.89 ,0.00%,$0.96 ,$0.00 ,$1.93 
"NOS NRG 16 CN,  Each",$2.89 ,44,$127.16 ,0.04%,$24.94 ,$0.00 ,$102.22 
"NOS NRG 24 CN,  Each",$3.69 ,8,$29.52 ,0.01%,$0.00 ,$0.00 ,$29.52 
"RDLNE X BLUE RAZZ 8 PL,  Each",$3.09 ,9,$27.81 ,0.01%,$0.00 ,$0.00 ,$27.81 
"RED BULL BLUE ED 12CN,  Each",$3.59 ,15,$53.85 ,0.02%,$9.80 ,$0.00 ,$44.05 
"RED BULL CCNT ED 12C,  Each",$3.59 ,16,$57.44 ,0.02%,$13.10 ,$0.00 ,$44.34 
"RED BULL GREEN 12CN,  Each",$3.59 ,13,$46.67 ,0.02%,$7.01 ,$0.00 ,$39.66 
"RED BULL NRG 12 CN,  Each",$3.59 ,166,$595.94 ,0.21%,$90.73 ,$0.00 ,$505.21 
"RED BULL NRG 16 CN,  Each",$4.29 ,45,$193.05 ,0.07%,$9.54 ,$0.00 ,$183.51 
"RED BULL NRG 20CN,  Each",$5.09 ,34,$173.06 ,0.06%,$0.00 ,$0.00 ,$173.06 
"RED BULL NRG 4/8.4 CN, 4 Pack",$7.69 ,16,$123.04 ,0.04%,$0.00 ,$0.00 ,$123.04 
"RED BULL NRG 8.4 CN,  Each",$2.79 ,81,$225.99 ,0.08%,$27.55 ,$0.00 ,$198.44 
"RED BULL NRG S/F 12 CN,  Each",$3.59 ,49,$175.91 ,0.06%,$32.60 ,$0.00 ,$143.31 
"RED BULL NRG S/F 16 CN,  Each",$4.29 ,3,$12.87 ,0.00%,$0.00 ,$0.00 ,$12.87 
"RED BULL NRG S/F 20CN,  Each",$5.09 ,16,$81.44 ,0.03%,$0.00 ,$0.00 ,$81.44 
"RED BULL NRG S/F 8.4 CN,  Each",$2.79 ,51,$142.29 ,0.05%,$22.15 ,$0.00 ,$120.14 
"RED BULL ORANGE ED 12CN,  Each",$3.59 ,18,$64.62 ,0.02%,$15.38 ,$0.00 ,$49.24 
"RED BULL PEACH ED 12CN,  Each",$3.59 ,76,$272.84 ,0.10%,$73.41 ,$0.00 ,$199.43 
"RED BULL PEAR SF ED 12CN,  Each",$3.59 ,11,$39.49 ,0.01%,$5.93 ,$0.00 ,$33.56 
"RED BULL RED ED 12CN,  Each",$3.59 ,10,$35.90 ,0.01%,$7.02 ,$0.00 ,$28.88 
"RED BULL WNTR ED PLM 12CN,  Each",$3.59 ,1,$3.59 ,0.00%,$0.85 ,$0.00 ,$2.74 
"RED BULL WTRMLN 12CN,  Each",$3.59 ,25,$89.75 ,0.03%,$9.44 ,$0.00 ,$80.31 
"RED BULL YELLOW ED 12CN,  Each",$3.59 ,43,$154.37 ,0.05%,$35.82 ,$0.00 ,$118.55 
"RED BULL ZERO 12CN,  Each",$3.59 ,4,$14.36 ,0.01%,$0.00 ,$0.00 ,$14.36 
"ROCKSTAR 16 CN,  Each",$2.89 ,75,$216.75 ,0.08%,$48.01 ,$0.00 ,$168.74 
"ROCKSTAR 24 CN,  Each",$3.69 ,24,$88.56 ,0.03%,$10.42 ,$0.00 ,$78.14 
"ROCKSTAR DT 16 CN,  Each",$2.89 ,16,$46.24 ,0.02%,$9.90 ,$0.00 ,$36.34 
"ROCKSTAR DT 24 CN,  Each",$3.69 ,2,$7.38 ,0.00%,$0.70 ,$0.00 ,$6.68 
"ROCKSTAR HRDCRE APL 16CN,  Each",$2.89 ,15,$43.35 ,0.02%,$11.93 ,$0.00 ,$31.42 
"ROCKSTAR ORG IS FRT 15CN,  Each",$2.89 ,21,$60.69 ,0.02%,$10.02 ,$0.00 ,$50.67 
"ROCKSTAR PNCHED 16 CN,  Each",$2.89 ,32,$92.48 ,0.03%,$15.98 ,$0.00 ,$76.50 
"ROCKSTAR PNCHED 24 CN,  Each",$3.69 ,2,$7.38 ,0.00%,$0.00 ,$0.00 ,$7.38 
"ROCKSTAR RCVRY LMND 16CN,  Each",$2.89 ,7,$20.23 ,0.01%,$3.73 ,$0.00 ,$16.50 
"ROCKSTAR RCVRY ORNG 16 CN,  Each",$2.89 ,8,$23.12 ,0.01%,$5.86 ,$0.00 ,$17.26 
"ROCKSTAR XDRNCE APL 16C,  Each",$2.89 ,6,$17.34 ,0.01%,$3.20 ,$0.00 ,$14.14 
"ROCKSTAR XDRNCE KIWI 16C,  Each",$2.89 ,8,$23.12 ,0.01%,$5.86 ,$0.00 ,$17.26 
"ROCKSTAR ZERO CARB 16 CN,  Each",$2.89 ,24,$69.36 ,0.02%,$20.91 ,$0.00 ,$48.45 
"ROCKSTAR ZRO GRP 16CN,  Each",$2.89 ,4,$11.56 ,0.00%,$2.88 ,$0.00 ,$8.68 
"ROCKSTAR ZRO PNCHD 16CN,  Each",$2.89 ,8,$23.12 ,0.01%,$5.85 ,$0.00 ,$17.27 
"ROCKSTAR ZRO WTRMLN 16CN,  Each",$2.89 ,2,$5.78 ,0.00%,$1.49 ,$0.00 ,$4.29 
"STRBCKS NRG COFFEE 15CN,  Each",$3.19 ,18,$57.42 ,0.02%,$0.77 ,$0.00 ,$56.65 
"STRBCKS NRG MCHA 15CN,  Each",$3.19 ,28,$89.32 ,0.03%,$12.59 ,$0.00 ,$76.73 
"STRBCKS NRG VAN 15 C,  Each",$3.19 ,19,$60.61 ,0.02%,$5.71 ,$0.00 ,$54.90 
"STRBCKS NRG WHT CHOC 15C,  Each",$3.19 ,10,$31.90 ,0.01%,$2.08 ,$0.00 ,$29.82 
"UPTIME CITRUS CS 12CN,  Each",$3.09 ,16,$49.44 ,0.02%,$0.00 ,$0.00 ,$49.44 
ENERGY DRINK Subtotal, ,"1,980","$6,373.50 ",2.24%,$985.56 ,$0.00 ,"$5,387.94 "
ENHANCED WATER, , , , , , , 
"AHA ORANGE GRPFRT 16CN,  Each",$1.59 ,1,$1.59 ,0.00%,$0.00 ,$0.00 ,$1.59 
"BAI CST RCA CLMNTN 18PL,  Each",$2.89 ,15,$43.35 ,0.02%,$0.00 ,$0.00 ,$43.35 
"BAI IPANEMA POM 18PL,  Each",$2.89 ,7,$20.23 ,0.01%,$0.00 ,$0.00 ,$20.23 
"BAI MOLOKAI COCONUT 18PL,  Each",$2.89 ,7,$20.23 ,0.01%,$0.00 ,$0.00 ,$20.23 
"CORE HYDRTN WTR 30.4 PL,  Each",$2.49 ,7,$17.43 ,0.01%,$0.99 ,$0.00 ,$16.44 
"CORE ORG PEACH MNGO 18PL,  Each",$2.69 ,1,$2.69 ,0.00%,$0.00 ,$0.00 ,$2.69 
"ESSENTIA WATER 1.5L PL,  Each",$3.09 ,33,$101.97 ,0.04%,$0.00 ,$0.00 ,$101.97 
"ESSENTIA WATER 1LT PL,  Each",$2.69 ,42,$112.98 ,0.04%,$0.00 ,$0.00 ,$112.98 
"LIFE WTR 1L,  Each",$2.29 ,4,$9.16 ,0.00%,$0.00 ,$0.00 ,$9.16 
"MONSTER HYD PRPLPSN 25.4P,  Each",$3.09 ,10,$30.90 ,0.01%,$0.00 ,$0.00 ,$30.90 
"MONSTER HYD TPCLTHD25.4P,  Each",$3.09 ,16,$49.44 ,0.02%,$0.00 ,$0.00 ,$49.44 
"NEURO BLS RZBRY 14.5P,  Each",$2.59 ,12,$31.08 ,0.01%,$0.00 ,$0.00 ,$31.08 
"NEURO SNC SPR FRT 14.5P,  Each",$2.59 ,9,$23.31 ,0.01%,$0.00 ,$0.00 ,$23.31 
"SMARTWATER 1.5L PL,  Each",$3.49 ,9,$31.41 ,0.01%,$0.00 ,$0.00 ,$31.41 
"SMARTWATER 1L PL,  Each",$2.69 ,130,$349.70 ,0.12%,$56.99 ,$0.00 ,$292.71 
"SMARTWATER 20 PL,  Each",$2.09 ,17,$35.53 ,0.01%,$0.00 ,$0.00 ,$35.53 
"SMARTWATER SPORT 700ML PL,  Each",$2.19 ,22,$48.18 ,0.02%,$0.00 ,$0.00 ,$48.18 
"SMARTWATER STW BLKB 700ML,  Each",$2.19 ,1,$2.19 ,0.00%,$0.00 ,$0.00 ,$2.19 
"VITMNWATER FCS 20 PL,  Each",$2.19 ,11,$24.09 ,0.01%,$0.00 ,$0.00 ,$24.09 
"VITMNWATER NRG 20 PL,  Each",$2.19 ,22,$48.18 ,0.02%,$0.00 ,$0.00 ,$48.18 
"VITMNWATER NRG 32 PL,  Each",$2.79 ,28,$78.12 ,0.03%,$0.00 ,$0.00 ,$78.12 
"VITMNWATER PWR C 20 PL,  Each",$2.19 ,14,$30.66 ,0.01%,$0.00 ,$0.00 ,$30.66 
"VITMNWATER PWR C 32 PL,  Each",$2.79 ,25,$69.75 ,0.02%,$0.00 ,$0.00 ,$69.75 
"VITMNWATER XXX 20 PL,  Each",$2.19 ,29,$63.51 ,0.02%,$0.00 ,$0.00 ,$63.51 
"VITMNWATER XXX 32 PL,  Each",$2.79 ,26,$72.54 ,0.03%,$0.00 ,$0.00 ,$72.54 
"VITMNWATER ZRO XXX 20P,  Each",$2.19 ,13,$28.47 ,0.01%,$0.00 ,$0.00 ,$28.47 
"VTA COCO ORIGINAL 500PL,  Each",$2.99 ,27,$80.73 ,0.03%,$0.00 ,$0.00 ,$80.73 
"VTA COCO PNPL 500PL,  Each",$2.99 ,8,$23.92 ,0.01%,$0.00 ,$0.00 ,$23.92 
ENHANCED WATER Subtotal, ,546,"$1,451.34 ",0.51%,$57.98 ,$0.00 ,"$1,393.36 "
FRUIT SMOOTHIE, , , , , , , 
"NKD JCE BLUE MCHN 15.2 PL,  Each",$3.59 ,10,$35.90 ,0.01%,$0.00 ,$0.00 ,$35.90 
"NKD JCE GRN MCHN 15.2,  Each",$3.59 ,14,$50.26 ,0.02%,$0.00 ,$0.00 ,$50.26 
"NKD JCE MTY MNGO 15.2,  Each",$3.59 ,8,$28.72 ,0.01%,$0.00 ,$0.00 ,$28.72 
"NKD JCE STRWBNA 15.2 PL,  Each",$3.59 ,9,$32.31 ,0.01%,$0.00 ,$0.00 ,$32.31 
FRUIT SMOOTHIE Subtotal, ,41,$147.19 ,0.05%,$0.00 ,$0.00 ,$147.19 
HEALTH AND WELLNESS, , , , , , , 
"GUAYAKI YM ENLTNMNT 15.5C,  Each",$3.09 ,11,$33.99 ,0.01%,$0.00 ,$0.00 ,$33.99 
"GUAYAKI YM LMN ELTN 15.5C,  Each",$3.09 ,4,$12.36 ,0.00%,$0.00 ,$0.00 ,$12.36 
"GUAYAKI YM REVL BRY 15.5C,  Each",$3.09 ,24,$74.16 ,0.03%,$0.00 ,$0.00 ,$74.16 
"HA KMBCHA PNKLDY 16G,  Each",$3.99 ,1,$3.99 ,0.00%,$0.00 ,$0.00 ,$3.99 
"KVT MBK PNPL PCH 15.2GL,  Each",$3.89 ,6,$23.34 ,0.01%,$0.00 ,$0.00 ,$23.34 
"KVT SPK PRBTC MJITA 15.2G,  Each",$3.89 ,8,$31.12 ,0.01%,$0.00 ,$0.00 ,$31.12 
"MUSCLE MLK CHOC 14PL,  Each",$3.99 ,23,$91.77 ,0.03%,$0.00 ,$0.00 ,$91.77 
"MUSCLE MLK PRO VAN 14PL,  Each",$4.69 ,9,$42.21 ,0.01%,$0.00 ,$0.00 ,$42.21 
HEALTH AND WELLNESS Subtotal, ,86,$312.94 ,0.11%,$0.00 ,$0.00 ,$312.94 
JUICE (PARTIAL), , , , , , , 
"ALO ALLURE 16.9PL,  Each",$1.99 ,37,$73.63 ,0.03%,$0.00 ,$0.00 ,$73.63 
"ALO EXPOSED 16.9PL,  Each",$1.99 ,45,$89.55 ,0.03%,$0.00 ,$0.00 ,$89.55 
"CALYPSO BLUE LMND 16GL,  Each",$2.09 ,7,$14.63 ,0.01%,$0.00 ,$0.00 ,$14.63 
"CALYPSO PCH LMND 16GL,  Each",$2.09 ,9,$18.81 ,0.01%,$0.00 ,$0.00 ,$18.81 
"GOOD 2 GRW JWTR GRP 6 PL,  Each",$3.09 ,4,$12.36 ,0.00%,$0.00 ,$0.00 ,$12.36 
"OS CRAN 15.2 PL,  Each",$2.29 ,6,$13.74 ,0.00%,$0.00 ,$0.00 ,$13.74 
"SNPL KIWI STRW 32 PL,  Each",$2.29 ,19,$43.51 ,0.02%,$0.00 ,$0.00 ,$43.51 
"SNPL MNGO MDNSS 32 PL,  Each",$2.29 ,24,$54.96 ,0.02%,$0.00 ,$0.00 ,$54.96 
"V8 SPLSH TRPCL BLND 16 PL,  Each",$1.59 ,2,$3.18 ,0.00%,$0.00 ,$0.00 ,$3.18 
JUICE (PARTIAL) Subtotal, ,153,$324.37 ,0.11%,$0.00 ,$0.00 ,$324.37 
JUICE (PURE), , , , , , , 
"GOOD 2 GRW FT PNCH 6PL,  Each",$3.09 ,2,$6.18 ,0.00%,$0.00 ,$0.00 ,$6.18 
"GOOD 2 GRW STRW KWI 6P,  Each",$3.09 ,3,$9.27 ,0.00%,$0.00 ,$0.00 ,$9.27 
"MM JTG APPLE 12PL,  Each",$2.09 ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
"MM JTG ORANGE 12PL,  Each",$2.09 ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
"SIMPLY LEMONADE 11.5PL,  Each",$1.99 ,12,$23.88 ,0.01%,$0.00 ,$0.00 ,$23.88 
"SIMPLY LMND RZBRY 11.5P,  Each",$1.99 ,20,$39.80 ,0.01%,$0.00 ,$0.00 ,$39.80 
"SIMPLY ORANGE 11.5PL,  Each",$1.99 ,9,$17.91 ,0.01%,$0.00 ,$0.00 ,$17.91 
"TROP APL JCE 32 PL  ,  Each",$2.99 ,12,$35.88 ,0.01%,$0.00 ,$0.00 ,$35.88 
"TROP OJ 32 PL,  Each",$2.89 ,15,$43.35 ,0.02%,$0.00 ,$0.00 ,$43.35 
"TROP ORN 15.2 PL,  Each",$1.89 ,15,$28.35 ,0.01%,$0.00 ,$0.00 ,$28.35 
"TROP PREM OJ NO PULP 12,  Each",$1.79 ,10,$17.90 ,0.01%,$0.00 ,$0.00 ,$17.90 
"TROP PREM OJ PULP 12,  Each",$1.79 ,7,$12.53 ,0.00%,$0.00 ,$0.00 ,$12.53 
"V8 VEG JCE 12 PL,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
JUICE (PURE) Subtotal, ,122,$269.58 ,0.09%,$0.00 ,$0.00 ,$269.58 
MEAL REPLACEMENT, , , , , , , 
"SOYLENT CACAO 14PL,  Each",$4.09 ,8,$32.72 ,0.01%,$0.00 ,$0.00 ,$32.72 
MEAL REPLACEMENT Subtotal, ,8,$32.72 ,0.01%,$0.00 ,$0.00 ,$32.72 
MINERAL WATER, , , , , , , 
"AHA BLUE POM 16CN,  Each",$1.59 ,1,$1.59 ,0.00%,$0.00 ,$0.00 ,$1.59 
"AHA LIME WTRMLN 16CN,  Each",$1.59 ,4,$6.36 ,0.00%,$0.00 ,$0.00 ,$6.36 
"PERRIER LIME .5L PL,  Each",$1.69 ,27,$45.63 ,0.02%,$0.00 ,$0.00 ,$45.63 
"PERRIER MNRL WTR .5L PL,  Each",$1.69 ,25,$42.25 ,0.01%,$0.00 ,$0.00 ,$42.25 
MINERAL WATER Subtotal, ,57,$95.83 ,0.03%,$0.00 ,$0.00 ,$95.83 
NON-COLA, , , , , , , 
"7UP 20PL,  Each",$2.09 ,12,$25.08 ,0.01%,$3.26 ,$0.00 ,$21.82 
"A&W RB 20 PL,  Each",$2.09 ,30,$62.70 ,0.02%,$7.63 ,$0.00 ,$55.07 
"CD GINGER ALE 20 PL,  Each",$2.09 ,7,$14.63 ,0.01%,$2.18 ,$0.00 ,$12.45 
"DR PPPR 16CN,  Each",$1.79 ,5,$8.95 ,0.00%,$0.00 ,$0.00 ,$8.95 
"DR PPPR 1L PL,  Each",$2.69 ,11,$29.59 ,0.01%,$0.00 ,$0.00 ,$29.59 
"DR PPPR 20 PL,  Each",$2.09 ,31,$64.79 ,0.02%,$7.09 ,$0.00 ,$57.70 
"DR PPPR DT 20 PL,  Each",$2.09 ,22,$45.98 ,0.02%,$7.08 ,$0.00 ,$38.90 
"FANTA ORANGE 20 PL,  Each",$2.19 ,36,$78.84 ,0.03%,$8.91 ,$0.00 ,$69.93 
"FANTA STRW 20 PL,  Each",$2.19 ,21,$45.99 ,0.02%,$4.76 ,$0.00 ,$41.23 
"MT DEW 16CN,  Each",$1.69 ,13,$21.97 ,0.01%,$0.00 ,$0.00 ,$21.97 
"MT DEW 1L PL,  Each",$2.69 ,14,$37.66 ,0.01%,$0.00 ,$0.00 ,$37.66 
"MT DEW 20 PL,  Each",$2.09 ,46,$96.14 ,0.03%,$13.06 ,$4.18 ,$78.90 
"MT DEW CODE RED 1L PL,  Each",$2.69 ,10,$26.90 ,0.01%,$0.00 ,$0.00 ,$26.90 
"MT DEW CODE RED 20 PL,  Each",$2.09 ,15,$31.35 ,0.01%,$5.99 ,$0.00 ,$25.36 
"MT DEW DT 1LTR PL,  Each",$2.69 ,17,$45.73 ,0.02%,$0.00 ,$0.00 ,$45.73 
"MT DEW DT 20 PL,  Each",$2.09 ,16,$33.44 ,0.01%,$4.37 ,$0.00 ,$29.07 
"MT DEW VOLTAGE 20 PL,  Each",$2.09 ,25,$52.25 ,0.02%,$8.19 ,$0.00 ,$44.06 
"SPRITE 1L PL,  Each",$2.69 ,21,$56.49 ,0.02%,$0.00 ,$0.00 ,$56.49 
"SPRITE 20 PL,  Each",$2.19 ,54,$118.26 ,0.04%,$20.87 ,$0.00 ,$97.39 
"SQUIRT 20 PL,  Each",$2.09 ,19,$39.71 ,0.01%,$3.81 ,$0.00 ,$35.90 
NON-COLA Subtotal, ,425,$936.45 ,0.33%,$97.20 ,$4.18 ,$835.07 
OTHER PKG BEVERAGE, , , , , , , 
"5 HOUR NRG BRRY 1.93PL,  Each",$3.39 ,4,$13.56 ,0.00%,$0.00 ,$0.00 ,$13.56 
"5 HOUR NRG BRRY 4/1.93PL, 4 Pack",$12.49 ,1,$12.49 ,0.00%,$0.00 ,$0.00 ,$12.49 
"5 HOUR NRG GRAPE 1.93PL,  Each",$3.39 ,2,$6.78 ,0.00%,$0.00 ,$0.00 ,$6.78 
"5 HOUR NRG ORANGE 1.93PL,  Each",$3.39 ,2,$6.78 ,0.00%,$0.00 ,$0.00 ,$6.78 
"5 HOUR NRG POM 1.93PL,  Each",$3.39 ,2,$6.78 ,0.00%,$0.00 ,$0.00 ,$6.78 
"5 HOUR NRG XTRA APPLE 1.93P,  Each",$3.59 ,4,$14.36 ,0.01%,$0.00 ,$0.00 ,$14.36 
"5 HOUR NRG XTRA BRRY 1.93PL,  Each",$3.59 ,7,$25.13 ,0.01%,$0.00 ,$0.00 ,$25.13 
"5 HOUR NRG XTRA CHRY 1.93PL,  Each",$3.59 ,6,$21.54 ,0.01%,$0.00 ,$0.00 ,$21.54 
"5 HOUR NRG XTRA GRP 1.93PL,  Each",$3.59 ,5,$17.95 ,0.01%,$0.00 ,$0.00 ,$17.95 
"5 HOUR NRG XTRA GRP 4/1.93PL, 4 Pack",$12.99 ,6,$77.94 ,0.03%,$0.00 ,$0.00 ,$77.94 
"BANG PEACH MANGO 3PL,  Each",$3.29 ,6,$19.74 ,0.01%,$3.18 ,$0.00 ,$16.56 
OTHER PKG BEVERAGE Subtotal, ,45,$223.05 ,0.08%,$3.18 ,$0.00 ,$219.87 
PURIFIED WATER, , , , , , , 
"AQFNA WTR 1L PL,  Each",$1.89 ,116,$219.24 ,0.08%,$32.39 ,$0.00 ,$186.85 
"AQFNA WTR 20 PL,  Each",$1.59 ,6,$9.54 ,0.00%,$0.00 ,$0.00 ,$9.54 
"DASANI 1L PL,  Each",$2.29 ,40,$91.60 ,0.03%,$0.00 ,$0.00 ,$91.60 
"DASANI 20 PL,  Each",$1.79 ,10,$17.90 ,0.01%,$0.00 ,$0.00 ,$17.90 
"EM EG PURIFIED WTR 1G,  Each",$2.19 ,31,$67.89 ,0.02%,$0.00 ,$0.00 ,$67.89 
"EM EG PURIFIED WTR 1L,  Each",$1.49 ,75,$111.75 ,0.04%,$19.80 ,$0.00 ,$91.95 
"EM EG PURIFIED WTR 24/.5PL,  Each",$1.29 ,39,$50.31 ,0.02%,$0.00 ,$0.00 ,$50.31 
"EM EG PURIFIED WTR 24/.5PL, 24 Pack",$4.99 ,28,$139.72 ,0.05%,$0.00 ,$0.00 ,$139.72 
"EM EG PURIFIED WTR SC 24PL,  Each",$1.39 ,16,$22.24 ,0.01%,$0.00 ,$0.00 ,$22.24 
"PATHWATER 25C,  Each",$2.89 ,23,$66.47 ,0.02%,$0.00 ,$0.00 ,$66.47 
PURIFIED WATER Subtotal, ,384,$796.66 ,0.28%,$52.19 ,$0.00 ,$744.47 
RTD PKG COFFEE DRINK, , , , , , , 
"STRBCKS CB COCOA HNY 11GL,  Each",$3.59 ,10,$35.90 ,0.01%,$0.00 ,$0.00 ,$35.90 
"STRBCKS DBL SHT 6.5 CN,  Each",$2.79 ,22,$61.38 ,0.02%,$0.00 ,$0.00 ,$61.38 
"STRBCKS DBL SHT LT 6.5 CN,  Each",$2.79 ,12,$33.48 ,0.01%,$0.00 ,$0.00 ,$33.48 
"STRBCKS DS SLTDCRML 6.5CN,  Each",$2.79 ,10,$27.90 ,0.01%,$0.00 ,$0.00 ,$27.90 
"STRBCKS FRP ALM VAN13.7G,  Each",$3.39 ,7,$23.73 ,0.01%,$1.79 ,$0.00 ,$21.94 
"STRBCKS FRP ALMDMCHA13.7G,  Each",$3.39 ,18,$61.02 ,0.02%,$6.26 ,$0.00 ,$54.76 
"STRBCKS FRP COFFEE 13.7 ,  Each",$3.39 ,5,$16.95 ,0.01%,$1.79 ,$0.00 ,$15.16 
"STRBCKS FRP CRML 13.7GL,  Each",$3.39 ,15,$50.85 ,0.02%,$5.30 ,$0.00 ,$45.55 
"STRBCKS FRP MOCHA 13.7 GL,  Each",$3.39 ,36,$122.04 ,0.04%,$9.76 ,$0.00 ,$112.28 
"STRBCKS FRP VAN 13.7 GL,  Each",$3.39 ,44,$149.16 ,0.05%,$15.08 ,$0.00 ,$134.08 
"STRBCKS FRP WHTCHC 13.7GL,  Each",$3.39 ,10,$33.90 ,0.01%,$0.89 ,$0.00 ,$33.01 
RTD PKG COFFEE DRINK Subtotal, ,189,$616.31 ,0.22%,$40.87 ,$0.00 ,$575.44 
RTD TEA, , , , , , , 
"AZ FRUIT PUNCH 16.9 PL,  Each",$1.59 ,1,$1.59 ,0.00%,$0.00 ,$0.00 ,$1.59 
"AZ GRN TEA GNSNGHNY16.9PL,  Each",$1.59 ,21,$33.39 ,0.01%,$0.00 ,$0.00 ,$33.39 
"AZ LEMON TEA 16.9 PL,  Each",$1.59 ,8,$12.72 ,0.00%,$0.00 ,$0.00 ,$12.72 
"AZ MUCHO MANGO 16.9 PL,  Each",$1.59 ,10,$15.90 ,0.01%,$0.00 ,$0.00 ,$15.90 
"AZ SWT TEA SO STYL 16.9PL,  Each",$1.59 ,8,$12.72 ,0.00%,$0.00 ,$0.00 ,$12.72 
"AZ WATERMELON 16.9 PL,  Each",$1.59 ,15,$23.85 ,0.01%,$0.00 ,$0.00 ,$23.85 
"LPTN BRSK LEMON 1L PL,  Each",$1.39 ,18,$25.02 ,0.01%,$0.00 ,$0.00 ,$25.02 
"LPTN BRSK RZBRY 1L PL,  Each",$1.39 ,8,$11.12 ,0.00%,$0.00 ,$0.00 ,$11.12 
"LPTN BRSK STRW MLN 1L PL,  Each",$1.39 ,13,$18.07 ,0.01%,$0.00 ,$0.00 ,$18.07 
"LPTN PR LF LEMON 18.5P,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
